Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Maruti Celerio VXI AT,Hyderabad,2013,41464,Diesel,Manual,First,13.1 kmpl,2494 CC,282 bhp,5.0,8.61 Lakh,1.65
Maruti Swift Dzire 1.2 Lxi BSIV,Chennai,2010,53222,Petrol,Automatic,First,23.84 kmpl,1599 CC,147.6 bhp,7.0,79.43 Lakh,3.41
Ford Figo Aspire 1.2 Ti-VCT Trend,Kolkata,2009,55386,Petrol,Manual,First,17.8 kmpl,1086 CC,null bhp,5.0,,1.45
Fiat Punto EVO 1.2 Emotion,Kolkata,2011,39314,Petrol,Manual,First,15.0 kmpl,1198 CC,58.2 bhp,5.0,,3.49
Volkswagen Polo GT TSI,Bangalore,2012,49612,Petrol,Automatic,First,11.49 kmpl,1798 CC,170 bhp,5.0,,4.73
Hyundai i10 Era,Jaipur,2013,69514,Diesel,Automatic,First,11.57 kmpl,1591 CC,190 bhp,5.0,,4.04
Maruti Alto K10 VXI AGS,Kolkata,2014,38277,Petrol,Manual,First,17.0 km/kg,1364 CC,121.3 bhp,5.0,5.61 Lakh,4.3
Mahindra XUV500 W8 4WD,Coimbatore,2015,54491,Diesel,Automatic,First,26.6 km/kg,2993 CC,245 bhp,5.0,,4.35
Ford Freestyle Titanium Plus Petrol,Kolkata,2010,39734,Petrol,Manual,First,14.07 kmpl,2494 CC,68 bhp,5.0,,2.21
Maruti Dzire AMT ZDI Plus,Delhi,2011,29473,Diesel,Automatic,First,17.68 kmpl,1498 CC,108.62 bhp,7.0,,25.66
Maruti Ertiga VXI CNG,Mumbai,2009,8982,Petrol,Manual,First,18.6 kmpl,998 CC,67.1 bhp,5.0,,2.07
Renault KWID Climber 1.0 AMT,Bangalore,2012,74980,Diesel,Automatic,First,12.99 kmpl,2987 CC,63.1 bhp,5.0,,20.29
Hyundai Sonata Transform 2.4 GDi MT,Kolkata,2011,28645,Petrol,Manual,First,16.8 kmpl,998 CC,78.9 bhp,5.0,,2.83
Maruti Vitara Brezza ZDi Plus Dual Tone,Chennai,2011,24820,Diesel,Manual,First,17.1 kmpl,796 CC,92 bhp,7.0,,26.75
Renault KWID RXT,Hyderabad,2012,72283,Diesel,Manual,First,15.29 kmpl,998 CC,null bhp,5.0,,22.34
Hyundai i10 Magna LPG,Jaipur,2012,51804,Diesel,Automatic,First,20.73 kmpl,2148 CC,58.16 bhp,5.0,,5.02
BMW 5 Series 525d Sedan,Mumbai,2011,61558,Diesel,Manual,First,17.1 kmpl,1198 CC,64 bhp,5.0,,1.89
Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,2011,25453,Diesel,Automatic,First,22.48 kmpl,2996 CC,88.50 bhp,4.0,45.36 Lakh,6.32
Toyota Corolla Executive (HE),Mumbai,2012,54136,Petrol,Manual,First,11.8 kmpl,1598 CC,88.73 bhp,5.0,,1.9
Mini Cooper 5 DOOR D,Kolkata,2009,41410,Petrol,Manual,First,21.76 kmpl,1248 CC,150 bhp,5.0,,1.96
Hyundai i10 Sportz AT,Jaipur,2013,60785,Petrol,Manual,First,26.6 km/kg,2696 CC,245 bhp,5.0,,2.39
Maruti Dzire VDI,Hyderabad,2015,56968,CNG,Manual,Third,20.85 kmpl,998 CC,73.9 bhp,5.0,,1.6
Maruti Alto 800 VXI,Kochi,2013,43525,Petrol,Automatic,First,11.1 kmpl,2987 CC,86.7 bhp,5.0,,1.72
Maruti Wagon R Duo LX BSIII,Mumbai,2015,38387,Petrol,Manual,First,18.6 kmpl,1498 CC,120 bhp,5.0,,2.53
Maruti Ciaz AT ZXi,Chennai,2009,54415,Petrol,Manual,First,23.1 kmpl,998 CC,74 bhp,5.0,,2.76
Hyundai Santro GLS II - Euro II,Kolkata,2014,33391,Diesel,Manual,First,12.8 kmpl,1586 CC,174.5 bhp,5.0,8.61 Lakh,7.59
BMW 3 Series 320d Sport,Hyderabad,2013,53473,Petrol,Manual,First,10.2 kmpl,998 CC,78.9 bhp,5.0,,2.16
Ford Endeavour 4x2 XLT Limited Edition,Chennai,2013,67513,Diesel,Manual,First,18.48 kmpl,2987 CC,58.16 bhp,5.0,,5.7
Tata Tiago 1.2 Revotron XZ,Pune,2012,45995,Diesel,Automatic,First,,2987 CC,140 bhp,8.0,,28.69
Maruti Wagon R AMT VXI,Kolkata,2012,32687,Petrol,Manual,First,15.17 kmpl,1591 CC,116.3 bhp,5.0,,5.23
Renault Pulse RxL,Hyderabad,2014,125444,Petrol,Manual,First,23.1 kmpl,998 CC,170 bhp,5.0,,2.69
Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2008,44530,Petrol,Manual,First,33.44 km/kg,1199 CC,75 bhp,5.0,,5.51
Tata Zest Revotron 1.2T XE,Kolkata,2011,50310,Petrol,Manual,First,13.5 kmpl,998 CC,81.86 bhp,5.0,,1.6
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Hyderabad,2013,62548,Diesel,Manual,First,19.81 kmpl,1086 CC,125 bhp,5.0,,2.66
Hyundai Grand i10 AT Asta,Bangalore,2010,33516,Diesel,Manual,First,15.6 kmpl,1298 CC,58.16 bhp,5.0,,0.58
Hyundai Santro Xing GLS,Chennai,2013,48158,CNG,Manual,First,17.8 kmpl,1248 CC,335.3 bhp,5.0,7.52 Lakh,3.37
Toyota Etios G,Bangalore,2009,44930,Diesel,Manual,First,15.04 kmpl,1197 CC,85 bhp,5.0,,2.13
Toyota Fortuner 2.8 2WD AT,Delhi,2014,34630,Diesel,Automatic,First,17.01 kmpl,796 CC,265 bhp,5.0,,9.79
Maruti SX4 Vxi BSIV,Mumbai,2014,18935,Petrol,Automatic,First,15.97 kmpl,1461 CC,99 bhp,5.0,,3.18
Toyota Corolla H4,Jaipur,2009,109884,Petrol,Manual,First,14.8 kmpl,1193 CC,null bhp,5.0,10.81 Lakh,1.65
Mercedes-Benz CLA 200 CDI Sport,Hyderabad,2012,65641,Diesel,Manual,First,21.27 kmpl,2497 CC,88.8 bhp,7.0,,6.1
Nissan Terrano XL D Option,Chennai,2009,85680,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,1.5
Toyota Prius 2009-2016 Z4,Coimbatore,2010,30951,Diesel,Automatic,First,26.6 km/kg,1599 CC,73.97 bhp,5.0,,3.94
Land Rover Range Rover Sport SE,Chennai,2013,51298,Diesel,Automatic,First,10.5 kmpl,1498 CC,174.33 bhp,7.0,,18.12
Hyundai i10 Magna 1.1,Kolkata,2009,88829,Diesel,Manual,First,23.19 kmpl,998 CC,null bhp,5.0,,5.57
Maruti Ciaz Zeta,Kolkata,2013,103204,Diesel,Manual,First,18.3 kmpl,998 CC,67.1 bhp,5.0,,1.95
Toyota Innova 2.5 G4 Diesel 8-seater,Hyderabad,2010,51440,Diesel,Manual,First,19.1 kmpl,2362 CC,53.3 bhp,5.0,,4.18
Audi Q7 3.0 TDI Quattro Technology,Kolkata,2012,62983,Diesel,Manual,First,17.4 kmpl,2993 CC,98.96 bhp,7.0,,22.39
Hyundai i20 1.2 Magna,Pune,2012,75080,Diesel,Manual,First,17.8 kmpl,998 CC,null bhp,5.0,,1.7
BMW 3 Series 320d Sedan,Kolkata,2008,59417,Diesel,Manual,First,20.73 kmpl,1248 CC,93.7 bhp,5.0,,2.54
Maruti Eeco 5 STR With AC Plus HTR CNG,Jaipur,2013,20663,Petrol,Automatic,First,23.19 kmpl,1896 CC,178.4 bhp,7.0,15.59 Lakh,9.73
BMW X1 M Sport sDrive 20d,Kolkata,2009,54974,Diesel,Manual,First,13.1 kmpl,1461 CC,75 bhp,5.0,,1.8
Skoda Superb 3.6 V6 FSI,Mumbai,2017,64663,Petrol,Manual,First,12.07 kmpl,998 CC,67.04 bhp,5.0,,1.35
Mercedes-Benz New C-Class C 220 CDI CLASSIC,Delhi,2011,85190,Diesel,Automatic,First,12.8 kmpl,1498 CC,178 bhp,8.0,,6.25
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Bangalore,2014,52619,Petrol,Manual,First,24.0 kmpl,1968 CC,107.2 bhp,5.0,62.07 Lakh,4.02
Volvo S60 D4 Momentum,Mumbai,2013,44355,Petrol,Manual,First,11.5 kmpl,1798 CC,126.32 bhp,5.0,,3.31
Honda Jazz 1.5 VX i DTEC,Hyderabad,2009,101341,CNG,Manual,Second,22.3 kmpl,1950 CC,125 bhp,5.0,,1.81
Honda BRV i-VTEC V CVT,Mumbai,2013,7198,Petrol,Manual,First,24.07 kmpl,1796 CC,78.9 bhp,5.0,,1.49
Maruti Wagon R Vx,Chennai,2013,53279,Petrol,Manual,First,13.7 kmpl,1199 CC,67.04 bhp,5.0,,2.38
Maruti Celerio VXI,Kolkata,2004,88164,Petrol,Manual,Second,16.6 kmpl,998 CC,80 bhp,5.0,,1.86
Renault KWID 1.0 RXT Optional,Mumbai,2012,50744,Petrol,Automatic,First,15.87 kmpl,1197 CC,74 bhp,5.0,,2.57
Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,2013,50761,Diesel,Manual,First,26.2 km/kg,1991 CC,138.1 bhp,5.0,8.18 Lakh,4.79
Volkswagen Vento 1.6 Comfortline,Bangalore,2013,58180,Diesel,Manual,First,18.88 kmpl,2148 CC,174.33 bhp,5.0,,2.71
Ford EcoSport 1.5 Diesel Titanium Plus,Mumbai,2016,10189,Diesel,Automatic,First,17.4 kmpl,2143 CC,138.1 bhp,5.0,,3.2
Land Rover Discovery Sport TD4 HSE,Hyderabad,2012,45335,Diesel,Manual,First,17.9 kmpl,2498 CC,224 bhp,4.0,13.58 Lakh,2.99
BMW 5 Series 520d Sport Line,Mumbai,2011,49345,CNG,Manual,First,26.2 km/kg,2143 CC,55.2 bhp,5.0,,5.53
Audi Q7 3.0 TDI Quattro Technology,Hyderabad,2010,39538,Petrol,Manual,First,13.33 kmpl,998 CC,147.8 bhp,5.0,,2.26
BMW X5 3.0d,Mumbai,2010,43739,Diesel,Automatic,First,17.8 kmpl,1248 CC,367 bhp,8.0,,29.91
Toyota Fortuner 4x2 4 Speed AT,Mumbai,2011,50772,Petrol,Manual,First,14.8 kmpl,1193 CC,53.3 bhp,5.0,,5.1
Fiat Punto 1.3 Emotion,Mumbai,2007,68639,Petrol,Manual,First,16.8 kmpl,1197 CC,118 bhp,5.0,,2.5
Mahindra Scorpio 1.99 S10 4WD,Hyderabad,2014,119317,CNG,Manual,First,22.9 kmpl,1991 CC,261 bhp,5.0,,1.83
Toyota Fortuner 4x2 Manual,Delhi,2013,29104,Diesel,Manual,Second,18.53 kmpl,1248 CC,108.5 bhp,8.0,,17.56
Skoda Laura 1.9 TDI AT Ambiente,Coimbatore,2014,49278,Diesel,Manual,First,20.62 kmpl,2987 CC,141 bhp,5.0,53.68 Lakh,7.24
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Delhi,2012,33625,Diesel,Manual,First,20.51 kmpl,1496 CC,58.16 bhp,5.0,,1.7
Honda Amaze S i-Dtech,Hyderabad,2016,27210,Petrol,Manual,First,21.38 kmpl,2996 CC,91.1 bhp,5.0,,2.41
Maruti Alto 800 VXI,Coimbatore,2003,37718,CNG,Manual,Second,20.54 kmpl,1364 CC,,5.0,,2.56
Skoda Superb Elegance 1.8 TSI AT,Ahmedabad,2009,43898,CNG,Manual,First,16.7 kmpl,1498 CC,67.1 bhp,5.0,,26.03
Honda Civic 2006-2010 1.8 V MT,Kolkata,2013,51205,Petrol,Manual,First,11.49 kmpl,1196 CC,70 bhp,5.0,8.61 Lakh,9.78
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,Coimbatore,2014,31972,Petrol,Manual,First,17.45 kmpl,1461 CC,103.2 bhp,5.0,6 Lakh,4.93
Mercedes-Benz New C-Class C250 Avantgarde,Bangalore,2013,44612,Petrol,Manual,First,17.0 kmpl,998 CC,81.86 bhp,5.0,,1.51
BMW 5 Series 2003-2012 520d,Mumbai,2007,58695,Petrol,Manual,Third,18.25 kmpl,1364 CC,70 bhp,5.0,,1.69
Maruti SX4 ZDI,Coimbatore,2010,59475,Diesel,Automatic,First,8.1 kmpl,2987 CC,83.1 bhp,4.0,8.1 Lakh,1.93
BMW 7 Series 730Ld Eminence,Hyderabad,2006,45228,CNG,Manual,First,15.04 kmpl,2523 CC,94 bhp,5.0,,3.44
Maruti Swift Dzire Tour LDI,Mumbai,2015,38466,Diesel,Automatic,First,23.0 kmpl,1498 CC,138.1 bhp,5.0,,8.85
Honda Accord 2.4 AT,Mumbai,2013,51365,Diesel,Manual,First,23.4 kmpl,1582 CC,89.84 bhp,7.0,,3.67
Maruti Ciaz ZDi Plus,Delhi,2011,52995,Diesel,Manual,First,12.8 kmpl,2179 CC,100 bhp,4.0,,5.67
Toyota Fortuner 4x2 4 Speed AT,Kolkata,2017,18196,Petrol,Manual,First,18.5 kmpl,814 CC,147.8 bhp,5.0,,1.39
Hyundai Accent GLE,Chennai,2017,41393,Petrol,Manual,First,26.6 km/kg,1197 CC,81.86 bhp,5.0,,3.0
Volkswagen Vento 1.6 Comfortline,Chennai,2013,40962,Petrol,Manual,First,26.6 km/kg,1197 CC,170 bhp,5.0,,3.06
Honda City ZX GXi,Hyderabad,2011,47396,Petrol,Manual,First,24.7 kmpl,1248 CC,126.2 bhp,5.0,92.79 Lakh,3.1
Renault Duster 85PS Diesel RxE,Kochi,2012,35332,Petrol,Automatic,First,33.44 km/kg,1956 CC,80 bhp,5.0,7.59 Lakh,2.77
Mahindra XUV500 W10 2WD,Delhi,2011,74307,Diesel,Automatic,First,12.8 kmpl,2993 CC,168.5 bhp,5.0,,59.04
Maruti SX4 Vxi BSIII,Delhi,2013,45282,Diesel,Manual,First,16.36 kmpl,2179 CC,147.51 bhp,7.0,,20.74
Hyundai Grand i10 CRDi Sportz Celebration Edition,Delhi,2013,63509,Diesel,Automatic,First,17.1 kmpl,2993 CC,140 bhp,5.0,,26.66
Volkswagen Polo 1.2 MPI Comfortline,Chennai,2010,36827,Petrol,Automatic,First,20.4 kmpl,1582 CC,85.8 bhp,5.0,,4.99
Maruti Wagon R Duo Lxi,Chennai,2011,62172,Diesel,Manual,First,17.0 kmpl,998 CC,null bhp,5.0,,1.53
Hyundai i10 Era,Hyderabad,2013,21429,Diesel,Automatic,First,13.5 kmpl,2143 CC,58.16 bhp,7.0,,5.9
Hyundai Verna 1.6 EX VTVT,Kolkata,2009,32964,Petrol,Manual,First,15.1 km/kg,2494 CC,81.86 bhp,5.0,,1.71
Audi Q7 3.0 TDI Quattro Premium Plus,Kochi,2013,29380,Petrol,Manual,First,14.21 kmpl,1598 CC,241.38 bhp,5.0,8.61 Lakh,5.94
BMW 5 Series 530d M Sport,Pune,2014,52136,Diesel,Manual,Second,21.19 kmpl,1498 CC,88.73 bhp,5.0,,5.34
Mercedes-Benz E-Class E270 CDI,Ahmedabad,2013,11058,Petrol,Manual,First,18.16 kmpl,1991 CC,63 bhp,5.0,8.61 Lakh,5.32
Hyundai Grand i10 1.2 Kappa Asta,Mumbai,2004,53782,Diesel,Manual,First,14.53 kmpl,1364 CC,183 bhp,5.0,,3.14
Tata Indica Vista Aura 1.3 Quadrajet,Delhi,2011,38449,Diesel,Manual,First,27.62 kmpl,2393 CC,192 bhp,5.0,13.58 Lakh,5.55
Mahindra XUV500 W6 2WD,Hyderabad,2013,34776,Petrol,Automatic,First,12.7 kmpl,1984 CC,444 bhp,5.0,71.82 Lakh,5.95
BMW X1 sDrive 20d Sportline,Pune,2010,62015,CNG,Manual,First,23.2 kmpl,998 CC,67.04 bhp,5.0,,2.22
Toyota Innova Crysta 2.4 VX MT,Kolkata,2009,42775,Petrol,Manual,First,17.0 kmpl,796 CC,78.9 bhp,5.0,,1.92
Maruti Alto 800 2016-2019 CNG LXI,Hyderabad,2007,65684,CNG,Manual,First,15.04 kmpl,1997 CC,70 bhp,5.0,,2.03
Maruti Omni MPI STD BSIV,Delhi,2012,50343,Diesel,Automatic,First,12.8 kmpl,2993 CC,147.51 bhp,5.0,,18.87
Hyundai EON Magna Plus,Coimbatore,2012,36998,Diesel,Manual,First,19.27 kmpl,2523 CC,108.45 bhp,7.0,5.68 Lakh,12.48
Audi Q5 30 TDI quattro Premium Plus,Chennai,2010,74190,Diesel,Automatic,First,14.84 kmpl,2982 CC,170 bhp,8.0,,15.46
Honda Civic 2006-2010 1.8 V MT,Chennai,2017,36543,Petrol,Automatic,First,14.3 kmpl,1388 CC,105 bhp,5.0,8.61 Lakh,5.71
Renault KWID RXT,Kolkata,2009,35913,Petrol,Manual,First,16.8 kmpl,998 CC,null bhp,5.0,,4.42
Hyundai Grand i10 1.2 Kappa Magna AT,Chennai,2013,19066,Petrol,Manual,First,21.1 kmpl,998 CC,67.1 bhp,5.0,,2.02
Honda City ZX VTEC,Delhi,2013,47199,Diesel,Manual,First,12.8 kmpl,2179 CC,170 bhp,8.0,,5.51
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Coimbatore,2015,41781,Petrol,Manual,First,20.68 kmpl,1461 CC,308 bhp,7.0,12.44 Lakh,3.07
Maruti Wagon R LXI CNG,Mumbai,2014,21702,Petrol,Manual,First,17.0 kmpl,1198 CC,67.1 bhp,5.0,,2.51
Hyundai i10 Magna 1.2,Hyderabad,2014,62656,Petrol,Manual,First,20.7 kmpl,999 CC,107.2 bhp,5.0,,12.91
Hyundai Creta 1.6 CRDi SX Option,Hyderabad,2010,47226,Petrol,Manual,First,26.59 kmpl,1599 CC,121.3 bhp,5.0,,0.69
Toyota Corolla Altis 1.8 VL CVT,Chennai,2013,60270,Diesel,Automatic,First,18.88 kmpl,2494 CC,70 bhp,5.0,,1.64
Hyundai Santro Xing XO eRLX Euro II,Mumbai,2011,75473,Petrol,Manual,First,19.0 kmpl,998 CC,70 bhp,5.0,,2.04
BMW 3 Series 320d Highline,Kolkata,2012,63651,CNG,Manual,Third,12.8 kmpl,1399 CC,67.1 bhp,5.0,,2.04
Hyundai Santro Xing GL,Kolkata,2013,20440,Petrol,Manual,First,21.4 kmpl,1197 CC,82.9 bhp,5.0,,9.08
Toyota Corolla Altis VL,Jaipur,2014,20702,Diesel,Automatic,First,22.1 km/kg,1461 CC,171.5 bhp,5.0,,6.38
Ford Figo Diesel,Mumbai,2011,31173,Petrol,Manual,First,17.0 kmpl,1198 CC,117.3 bhp,5.0,,3.07
Maruti Wagon R CNG LXI,Coimbatore,2012,12494,Petrol,Manual,First,15.68 kmpl,1196 CC,81.86 bhp,7.0,1.06 Cr,4.36
Mahindra NuvoSport N6,Bangalore,2011,65599,Diesel,Manual,Second,12.8 kmpl,2494 CC,190 bhp,5.0,,11.21
Mitsubishi Pajero Sport 4X4 AT,Hyderabad,2014,48489,Petrol,Manual,First,13.2 km/kg,1995 CC,108.5 bhp,7.0,23.64 Lakh,5.09
Hyundai Santro Xing XG,Mumbai,2014,56150,Diesel,Manual,First,13.5 kmpl,998 CC,78.9 bhp,8.0,,1.9
Tata Zest Revotron 1.2T XM,Hyderabad,2014,49359,Diesel,Manual,First,22.7 kmpl,2993 CC,88.8 bhp,5.0,8.71 Lakh,5.53
Toyota Fortuner 4x2 Manual,Bangalore,2013,28349,Diesel,Manual,First,10.93 kmpl,1798 CC,58.16 bhp,5.0,,1.09
Maruti Wagon R LXI Minor,Pune,2010,48096,CNG,Manual,First,15.1 km/kg,2494 CC,147.8 bhp,5.0,,6.51
Maruti Estilo LXI,Hyderabad,2007,71235,Petrol,Manual,Second,20.51 kmpl,998 CC,98.6 bhp,5.0,,2.22
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2010,17056,Petrol,Manual,First,18.9 kmpl,1197 CC,85.8 bhp,5.0,,2.33
Maruti Grand Vitara MT,Jaipur,2015,108500,CNG,Manual,First,14.07 kmpl,1061 CC,255 bhp,8.0,,5.1
BMW X1 sDrive 20d Exclusive,Chennai,2015,42387,Diesel,Automatic,First,28.09 kmpl,1968 CC,171 bhp,5.0,,43.06
Tata Tiago 1.2 Revotron XT Option,Mumbai,2011,112998,Diesel,Automatic,First,16.55 kmpl,2987 CC,126.2 bhp,7.0,,4.2
Skoda Rapid 1.6 TDI Ambition,Hyderabad,2014,111835,CNG,Manual,First,17.3 km/kg,1248 CC,86.8 bhp,5.0,,1.86
Maruti Swift VXI BSIV,Chennai,2014,29793,Petrol,Manual,First,18.48 kmpl,1198 CC,74 bhp,5.0,,3.17
Hyundai Elantra CRDi SX,Jaipur,2014,45342,Diesel,Manual,Third,18.59 kmpl,1798 CC,198.5 bhp,5.0,,2.73
Maruti Wagon R Vx,Mumbai,2011,52940,Diesel,Manual,Second,21.2 kmpl,1598 CC,66.1 bhp,5.0,,2.52
Mahindra E Verito D4,Mumbai,2015,24369,Petrol,Automatic,First,18.2 kmpl,1896 CC,203 bhp,5.0,8.61 Lakh,4.2
Land Rover Range Rover Vogue SE 4.4 SDV8,Delhi,2012,32650,Diesel,Manual,First,18.4 kmpl,1299 CC,382 bhp,7.0,,22.09
Toyota Fortuner 3.0 Diesel,Mumbai,2017,43994,Petrol,Manual,First,20.36 kmpl,998 CC,82 bhp,5.0,,2.38
Hyundai i10 Sportz,Chennai,2014,37944,CNG,Manual,First,15.7 kmpl,998 CC,231.1 bhp,5.0,,2.35
Fiat Siena 1.2 ELX,Jaipur,2012,29143,Diesel,Automatic,First,18.1 kmpl,1798 CC,147.8 bhp,6.0,,27.98
Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2011,29482,Petrol,Automatic,First,20.4 kmpl,814 CC,130.2 bhp,5.0,11.89 Lakh,9.48
Maruti Baleno Delta,Kolkata,2012,28587,CNG,Manual,First,15.3 kmpl,1199 CC,55.2 bhp,5.0,,2.49
Honda City i-VTEC V,Pune,2011,61442,Petrol,Manual,First,20.3 kmpl,1405 CC,108.5 bhp,5.0,,1.68
ISUZU D-MAX V-Cross 4X4,Jaipur,2012,79730,Diesel,Manual,First,16.09 kmpl,1498 CC,58.16 bhp,7.0,,2.63
Tata Indigo CS eGLX BS IV,Delhi,2012,48562,Diesel,Manual,First,25.4 kmpl,2967 CC,138.03 bhp,5.0,15.36 Lakh,9.27
Maruti Alto K10 VXI,Kochi,2014,47442,Petrol,Manual,First,10.93 kmpl,998 CC,121.36 bhp,5.0,,2.53
Maruti Swift VXI BSIII,Kolkata,2009,12242,Petrol,Automatic,First,26.6 km/kg,2987 CC,81.80 bhp,5.0,,8.15
Chevrolet Beat Diesel LT,Chennai,2014,29612,Diesel,Manual,First,26.6 km/kg,1395 CC,245 bhp,5.0,,4.82
Toyota Innova Crysta 2.4 GX MT 8S,Kolkata,2011,72209,Petrol,Manual,First,15.9 kmpl,998 CC,117.3 bhp,7.0,,1.7
Tata Tiago 1.2 Revotron XT Option,Hyderabad,2014,59249,Diesel,Automatic,First,13.5 kmpl,1968 CC,83.1 bhp,7.0,,3.04
Audi Q5 2.0 TDI Premium Plus,Mumbai,2014,23867,Petrol,Manual,First,9.43 kmpl,1399 CC,100.6 bhp,5.0,8.61 Lakh,5.07
BMW 3 Series Luxury Line,Chennai,2009,61743,CNG,Manual,Third,17.0 kmpl,1591 CC,116.6 bhp,5.0,,1.52
Toyota Innova Crysta 2.4 ZX MT,Jaipur,2011,60995,Diesel,Manual,Second,26.21 kmpl,1248 CC,204 bhp,5.0,,20.99
Renault Duster 110PS Diesel RxL,Jaipur,2010,103280,Petrol,Manual,First,24.3 kmpl,796 CC,null bhp,5.0,,4.11
Maruti Wagon R Duo LX BSIII,Mumbai,2010,22246,Diesel,Manual,First,22.7 kmpl,1586 CC,100 bhp,5.0,,2.63
Skoda Rapid 1.5 TDI Ambition,Hyderabad,2010,114171,Petrol,Manual,First,13.7 kmpl,998 CC,174.33 bhp,5.0,,1.73
Renault KWID RXT,Mumbai,2015,59035,Petrol,Manual,First,17.0 kmpl,998 CC,null bhp,5.0,,3.13
Maruti Alto 800 LXI,Delhi,2014,19833,Petrol,Automatic,First,18.86 kmpl,72 CC,181 bhp,5.0,8.61 Lakh,5.99
Ford Figo Diesel ZXI,Hyderabad,2013,43661,Diesel,Automatic,First,13.68 kmpl,2755 CC,58.16 bhp,5.0,,10.45
Mahindra XUV500 W8 2WD,Hyderabad,2012,53324,Diesel,Manual,First,21.5 kmpl,1586 CC,58.16 bhp,5.0,,7.39
Honda City 1.5 V AT,Mumbai,2015,48682,Petrol,Manual,First,18.6 kmpl,1248 CC,110 bhp,5.0,,3.72
Toyota Innova 2.5 G (Diesel) 8 Seater,Mumbai,2013,38154,Diesel,Manual,First,11.9 kmpl,814 CC,73.9 bhp,5.0,,21.37
Skoda Laura 1.9 TDI AT Ambiente,Mumbai,2015,50132,Petrol,Manual,First,17.0 kmpl,796 CC,55.2 bhp,5.0,,2.41
Hyundai EON Era,Coimbatore,2017,56748,Diesel,Manual,First,27.39 kmpl,1498 CC,73 bhp,5.0,10.04 Lakh,3.69
BMW 7 Series 730Ld Eminence,Mumbai,2014,39098,Petrol,Manual,First,26.6 km/kg,998 CC,81.80 bhp,5.0,,1.14
Hyundai Verna 1.6 SX VTVT (O),Hyderabad,2011,51342,Diesel,Manual,First,26.6 km/kg,1197 CC,73.9 bhp,5.0,,5.29
